"Territorial Unit,""Year"",""Sex"",""Age"",""Limited"""
"Spain,""2004"",""Women"",""25-29"",""0.074"""
"Spain,""2004"",""Women"",""30-34"",""0.1"""
"Spain,""2004"",""Women"",""35-39"",""0.109"""
"Spain,""2004"",""Women"",""40-44"",""0.124"""
"Spain,""2004"",""Women"",""45-49"",""0.131"""
"Spain,""2004"",""Women"",""50-54"",""0.171"""
"Spain,""2004"",""Women"",""55-59"",""0.236"""
"Spain,""2004"",""Women"",""60-64"",""0.26"""
"Spain,""2004"",""Women"",""65-69"",""0.288"""
"Spain,""2004"",""Women"",""70-74"",""0.298"""
"Spain,""2004"",""Women"",""75-79"",""0.318"""
"Spain,""2004"",""Women"",""80-84"",""0.337"""
"Spain,""2004"",""Women"",""85+"",""0.326"""
"Spain,""2004"",""Men"",""16-19"",""0.039"""
"Spain,""2004"",""Men"",""20-24"",""0.049"""
"Spain,""2004"",""Men"",""25-29"",""0.064"""
"Spain,""2004"",""Men"",""30-34"",""0.089"""
"Spain,""2004"",""Men"",""35-39"",""0.086"""
"Spain,""2004"",""Men"",""40-44"",""0.096"""
"Spain,""2004"",""Men"",""45-49"",""0.113"""
"Spain,""2004"",""Men"",""50-54"",""0.119"""
"Spain,""2004"",""Men"",""55-59"",""0.165"""
"Spain,""2004"",""Men"",""60-64"",""0.175"""
"Spain,""2004"",""Men"",""65-69"",""0.211"""
"Spain,""2004"",""Men"",""70-74"",""0.244"""
"Spain,""2004"",""Men"",""75-79"",""0.289"""
"Spain,""2004"",""Men"",""80-84"",""0.287"""
"Spain,""2004"",""Men"",""85+"",""0.264"""
"Sweden,""2004"",""Women"",""16-19"",""0.112"""
"Sweden,""2004"",""Women"",""20-24"",""0.076"""
"Sweden,""2004"",""Women"",""25-29"",""0.091"""
"Sweden,""2004"",""Women"",""30-34"",""0.113"""
"Sweden,""2004"",""Women"",""35-39"",""0.096"""
"Sweden,""2004"",""Women"",""40-44"",""0.09"""
"Sweden,""2004"",""Women"",""45-49"",""0.107"""
"Sweden,""2004"",""Women"",""50-54"",""0.107"""
"Sweden,""2004"",""Women"",""55-59"",""0.166"""
"Sweden,""2004"",""Women"",""60-64"",""0.218"""
"Sweden,""2004"",""Women"",""65-69"",""0.186"""
