"Territorial Unit","Year","Sex","Age","Not Limited"
"Austria","2005","Women","25-29","0.919"
"Austria","2005","Women","30-34","0.905"
"Austria","2005","Women","35-39","0.842"
"Austria","2005","Women","40-44","0.79"
"Austria","2005","Women","45-49","0.771"
"Austria","2005","Women","50-54","0.686"
"Austria","2005","Women","55-59","0.624"
"Austria","2005","Women","60-64","0.643"
"Austria","2005","Women","65-69","0.534"
"Austria","2005","Women","70-74","0.339"
"Austria","2005","Women","75-79","0.308"
"Austria","2005","Women","80-84","0.234"
"Austria","2005","Women","85+","0.206"
"Austria","2005","Men","16-19","0.923"
"Austria","2005","Men","20-24","0.922"
"Austria","2005","Men","25-29","0.897"
"Austria","2005","Men","30-34","0.891"
"Austria","2005","Men","35-39","0.871"
"Austria","2005","Men","40-44","0.858"
"Austria","2005","Men","45-49","0.763"
"Austria","2005","Men","50-54","0.704"
"Austria","2005","Men","55-59","0.59"
"Austria","2005","Men","60-64","0.561"
"Austria","2005","Men","65-69","0.553"
"Austria","2005","Men","70-74","0.416"
"Austria","2005","Men","75-79","0.357"
"Austria","2005","Men","80-84","0.32"
"Austria","2005","Men","85+","0.162"
"Belgium","2005","Women","16-19","0.902"
"Belgium","2005","Women","20-24","0.922"
"Belgium","2005","Women","25-29","0.888"
"Belgium","2005","Women","30-34","0.877"
"Belgium","2005","Women","35-39","0.852"
"Belgium","2005","Women","40-44","0.801"
"Belgium","2005","Women","45-49","0.748"
"Belgium","2005","Women","50-54","0.699"
"Belgium","2005","Women","55-59","0.677"
"Belgium","2005","Women","60-64","0.649"
"Belgium","2005","Women","65-69","0.609"
"Belgium","2005","Women","70-74","0.574"
"Belgium","2005","Women","75-79","0.478"
"Belgium","2005","Women","80-84","0.37"
"Belgium","2005","Women","85+","0.302"
"Belgium","2005","Men","16-19","0.943"
"Belgium","2005","Men","20-24","0.911"
"Belgium","2005","Men","25-29","0.908"
"Belgium","2005","Men","30-34","0.886"
"Belgium","2005","Men","35-39","0.844"
"Belgium","2005","Men","40-44","0.866"
"Belgium","2005","Men","45-49","0.802"
"Belgium","2005","Men","50-54","0.793"
"Belgium","2005","Men","55-59","0.748"
"Belgium","2005","Men","60-64","0.693"
"Belgium","2005","Men","65-69","0.691"
"Belgium","2005","Men","70-74","0.614"
"Belgium","2005","Men","75-79","0.552"
"Belgium","2005","Men","80-84","0.413"
"Belgium","2005","Men","85+","0.388"
"Denmark","2005","Women","16-19","0.964"
"Denmark","2005","Women","20-24","0.852"
"Denmark","2005","Women","25-29","0.901"
"Denmark","2005","Women","30-34","0.885"
"Denmark","2005","Women","35-39","0.881"
"Denmark","2005","Women","40-44","0.844"
"Denmark","2005","Women","45-49","0.834"
"Denmark","2005","Women","50-54","0.757"
"Denmark","2005","Women","55-59","0.783"
"Denmark","2005","Women","60-64","0.797"
"Denmark","2005","Women","65-69","0.721"
"Denmark","2005","Women","70-74","0.783"
"Denmark","2005","Women","75-79","0.734"
"Denmark","2005","Women","80-84","0.77"
"Denmark","2005","Women","85+","0.65"
"Denmark","2005","Men","16-19","0.929"
"Denmark","2005","Men","20-24","0.926"
"Denmark","2005","Men","25-29","0.954"
"Denmark","2005","Men","30-34","0.936"
"Denmark","2005","Men","35-39","0.917"
"Denmark","2005","Men","40-44","0.921"
"Denmark","2005","Men","45-49","0.896"
"Denmark","2005","Men","50-54","0.869"
"Denmark","2005","Men","55-59","0.849"
"Denmark","2005","Men","60-64","0.849"
"Denmark","2005","Men","65-69","0.845"
"Denmark","2005","Men","70-74","0.865"
"Denmark","2005","Men","75-79","0.769"
"Denmark","2005","Men","80-84","0.775"
"Denmark","2005","Men","85+","0.785"
"Finland","2005","Women","16-19","0.818"
"Finland","2005","Women","20-24","0.783"
"Finland","2005","Women","25-29","0.736"
"Finland","2005","Women","30-34","0.758"
"Finland","2005","Women","35-39","0.719"
"Finland","2005","Women","40-44","0.678"
"Finland","2005","Women","45-49","0.689"
"Finland","2005","Women","50-54","0.593"
"Finland","2005","Women","55-59","0.517"
"Finland","2005","Women","60-64","0.471"
"Finland","2005","Women","65-69","0.426"
"Finland","2005","Women","70-74","0.412"
"Finland","2005","Women","75-79","0.281"
"Finland","2005","Women","80-84","0.155"
"Finland","2005","Women","85+","0.238"
"Finland","2005","Men","16-19","0.848"
"Finland","2005","Men","20-24","0.817"
"Finland","2005","Men","25-29","0.788"
"Finland","2005","Men","30-34","0.753"
"Finland","2005","Men","35-39","0.707"
"Finland","2005","Men","40-44","0.673"
"Finland","2005","Men","45-49","0.746"
"Finland","2005","Men","50-54","0.575"
"Finland","2005","Men","55-59","0.549"
"Finland","2005","Men","60-64","0.478"
"Finland","2005","Men","65-69","0.488"
"Finland","2005","Men","70-74","0.426"
"Finland","2005","Men","75-79","0.348"
"Finland","2005","Men","80-84","0.2"
"Finland","2005","Men","85+","0.24"
"France","2005","Women","16-19","0.922"
"France","2005","Women","20-24","0.937"
"France","2005","Women","25-29","0.936"
"France","2005","Women","30-34","0.897"
"France","2005","Women","35-39","0.892"
"France","2005","Women","40-44","0.866"
"France","2005","Women","45-49","0.806"
"France","2005","Women","50-54","0.785"
"France","2005","Women","55-59","0.733"
"France","2005","Women","60-64","0.713"
"France","2005","Women","65-69","0.613"
"France","2005","Women","70-74","0.584"
"France","2005","Women","75-79","0.427"
"France","2005","Women","80-84","0.343"
"France","2005","Women","85+","0.186"
"France","2005","Men","16-19","0.939"
"France","2005","Men","20-24","0.939"
"France","2005","Men","25-29","0.912"
"France","2005","Men","30-34","0.91"
"France","2005","Men","35-39","0.897"
"France","2005","Men","40-44","0.871"
"France","2005","Men","45-49","0.838"
"France","2005","Men","50-54","0.818"
"France","2005","Men","55-59","0.735"
"France","2005","Men","60-64","0.738"
"France","2005","Men","65-69","0.667"
"France","2005","Men","70-74","0.527"
"France","2005","Men","75-79","0.4"
"France","2005","Men","80-84","0.4"
"France","2005","Men","85+","0.232"
"Germany","2005","Women","16-19","0.899"
"Germany","2005","Women","20-24","0.875"
"Germany","2005","Women","25-29","0.813"
"Germany","2005","Women","30-34","0.808"
"Germany","2005","Women","35-39","0.776"
"Germany","2005","Women","40-44","0.731"
"Germany","2005","Women","45-49","0.662"
"Germany","2005","Women","50-54","0.628"
"Germany","2005","Women","55-59","0.507"
"Germany","2005","Women","60-64","0.502"
"Germany","2005","Women","65-69","0.412"
"Germany","2005","Women","70-74","0.341"
"Germany","2005","Women","75-79","0.257"
"Germany","2005","Women","80-84","0.229"
"Germany","2005","Women","85+","0.159"
"Germany","2005","Men","16-19","0.908"
"Germany","2005","Men","20-24","0.879"
"Germany","2005","Men","25-29","0.866"
"Germany","2005","Men","30-34","0.825"
"Germany","2005","Men","35-39","0.768"
"Germany","2005","Men","40-44","0.736"
"Germany","2005","Men","45-49","0.679"
"Germany","2005","Men","50-54","0.607"
"Germany","2005","Men","55-59","0.53"
"Germany","2005","Men","60-64","0.47"
"Germany","2005","Men","65-69","0.486"
"Germany","2005","Men","70-74","0.379"
"Germany","2005","Men","75-79","0.341"
"Germany","2005","Men","80-84","0.36"
"Germany","2005","Men","85+","0.22"
"Greece","2005","Women","16-19","0.939"
"Greece","2005","Women","20-24","0.993"
"Greece","2005","Women","25-29","0.947"
"Greece","2005","Women","30-34","0.93"
"Greece","2005","Women","35-39","0.924"
"Greece","2005","Women","40-44","0.905"
"Greece","2005","Women","45-49","0.894"
"Greece","2005","Women","50-54","0.837"
"Greece","2005","Women","55-59","0.766"
"Greece","2005","Women","60-64","0.739"
"Greece","2005","Women","65-69","0.62"
"Greece","2005","Women","70-74","0.568"
"Greece","2005","Women","75-79","0.501"
"Greece","2005","Women","80-84","0.441"
"Greece","2005","Women","85+","0.359"
"Greece","2005","Men","16-19","0.98"
"Greece","2005","Men","20-24","0.967"
"Greece","2005","Men","25-29","0.963"
"Greece","2005","Men","30-34","0.95"
"Greece","2005","Men","35-39","0.926"
"Greece","2005","Men","40-44","0.929"
"Greece","2005","Men","45-49","0.9"
"Greece","2005","Men","50-54","0.87"
"Greece","2005","Men","55-59","0.823"
"Greece","2005","Men","60-64","0.706"
"Greece","2005","Men","65-69","0.684"
"Greece","2005","Men","70-74","0.631"
"Greece","2005","Men","75-79","0.501"
"Greece","2005","Men","80-84","0.476"
"Greece","2005","Men","85+","0.363"
"Ireland","2005","Women","16-19","0.942"
"Ireland","2005","Women","20-24","0.936"
"Ireland","2005","Women","25-29","0.85"
"Ireland","2005","Women","30-34","0.889"
"Ireland","2005","Women","35-39","0.87"
"Ireland","2005","Women","40-44","0.784"
"Ireland","2005","Women","45-49","0.823"
"Ireland","2005","Women","50-54","0.788"
"Ireland","2005","Women","55-59","0.752"
"Ireland","2005","Women","60-64","0.709"
"Ireland","2005","Women","65-69","0.674"
"Ireland","2005","Women","70-74","0.574"
"Ireland","2005","Women","75-79","0.414"
"Ireland","2005","Women","80-84","0.437"
"Ireland","2005","Women","85+","0.284"
"Ireland","2005","Men","16-19","0.933"
"Ireland","2005","Men","20-24","0.949"
"Ireland","2005","Men","25-29","0.928"
"Ireland","2005","Men","30-34","0.895"
"Ireland","2005","Men","35-39","0.911"
"Ireland","2005","Men","40-44","0.816"
"Ireland","2005","Men","45-49","0.797"
"Ireland","2005","Men","50-54","0.821"
"Ireland","2005","Men","55-59","0.772"
"Ireland","2005","Men","60-64","0.637"
"Ireland","2005","Men","65-69","0.662"
"Ireland","2005","Men","70-74","0.569"
"Ireland","2005","Men","75-79","0.492"
"Ireland","2005","Men","80-84","0.436"
"Ireland","2005","Men","85+","0.406"
"Italy","2005","Women","16-19","0.972"
"Italy","2005","Women","20-24","0.968"
"Italy","2005","Women","25-29","0.955"
"Italy","2005","Women","30-34","0.944"
"Italy","2005","Women","35-39","0.923"
"Italy","2005","Women","40-44","0.915"
"Italy","2005","Women","45-49","0.882"
"Italy","2005","Women","50-54","0.843"
"Italy","2005","Women","55-59","0.787"
"Italy","2005","Women","60-64","0.717"
"Italy","2005","Women","65-69","0.671"
"Italy","2005","Women","70-74","0.559"
"Italy","2005","Women","75-79","0.478"
"Italy","2005","Women","80-84","0.369"
"Italy","2005","Women","85+","0.252"
"Italy","2005","Men","16-19","0.963"
"Italy","2005","Men","20-24","0.971"
"Italy","2005","Men","25-29","0.946"
"Italy","2005","Men","30-34","0.938"
"Italy","2005","Men","35-39","0.914"
"Italy","2005","Men","40-44","0.914"
"Italy","2005","Men","45-49","0.872"
"Italy","2005","Men","50-54","0.878"
"Italy","2005","Men","55-59","0.835"
"Italy","2005","Men","60-64","0.762"
"Italy","2005","Men","65-69","0.722"
"Italy","2005","Men","70-74","0.628"
"Italy","2005","Men","75-79","0.531"
"Italy","2005","Men","80-84","0.457"
"Italy","2005","Men","85+","0.315"
"Luxembourg","2005","Women","16-19","0.912"
"Luxembourg","2005","Women","20-24","0.932"
"Luxembourg","2005","Women","25-29","0.87"
"Luxembourg","2005","Women","30-34","0.871"
"Luxembourg","2005","Women","35-39","0.871"
"Luxembourg","2005","Women","40-44","0.805"
"Luxembourg","2005","Women","45-49","0.803"
"Luxembourg","2005","Women","50-54","0.753"
"Luxembourg","2005","Women","55-59","0.651"
"Luxembourg","2005","Women","60-64","0.616"
"Luxembourg","2005","Women","65-69","0.61"
"Luxembourg","2005","Women","70-74","0.56"
"Luxembourg","2005","Women","75-79","0.483"
"Luxembourg","2005","Women","80-84","0.436"
"Luxembourg","2005","Women","85+","0.098"
"Luxembourg","2005","Men","16-19","0.958"
"Luxembourg","2005","Men","20-24","0.927"
"Luxembourg","2005","Men","25-29","0.896"
"Luxembourg","2005","Men","30-34","0.927"
"Luxembourg","2005","Men","35-39","0.883"
"Luxembourg","2005","Men","40-44","0.849"
"Luxembourg","2005","Men","45-49","0.789"
"Luxembourg","2005","Men","50-54","0.721"
"Luxembourg","2005","Men","55-59","0.687"
"Luxembourg","2005","Men","60-64","0.683"
"Luxembourg","2005","Men","65-69","0.624"
"Luxembourg","2005","Men","70-74","0.537"
"Luxembourg","2005","Men","75-79","0.559"
"Luxembourg","2005","Men","80-84","0.455"
"Luxembourg","2005","Men","85+","0.509"
"Netherlands","2005","Women","16-19","0.894"
"Netherlands","2005","Women","20-24","0.871"
"Netherlands","2005","Women","25-29","0.86"
"Netherlands","2005","Women","30-34","0.865"
"Netherlands","2005","Women","35-39","0.84"
"Netherlands","2005","Women","40-44","0.797"
"Netherlands","2005","Women","45-49","0.747"
"Netherlands","2005","Women","50-54","0.727"
"Netherlands","2005","Women","55-59","0.708"
"Netherlands","2005","Women","60-64","0.677"
"Netherlands","2005","Women","65-69","0.713"
"Netherlands","2005","Women","70-74","0.615"
"Netherlands","2005","Women","75-79","0.46"
"Netherlands","2005","Women","80-84","0.504"
"Netherlands","2005","Women","85+","0.389"
"Netherlands","2005","Men","16-19","0.972"
"Netherlands","2005","Men","20-24","0.905"
"Netherlands","2005","Men","25-29","0.934"
