"Territorial Unit","Year","Sex","Age","Severely Limited"
"Denmark","2005","Men","25-29","0"
"Denmark","2005","Men","30-34","0"
"Denmark","2005","Men","35-39","0"
"Denmark","2005","Men","40-44","0"
"Denmark","2005","Men","45-49","0"
"Denmark","2005","Men","50-54","0"
"Denmark","2005","Men","55-59","0"
"Denmark","2005","Men","60-64","0"
"Denmark","2005","Men","65-69","0"
"Denmark","2005","Men","70-74","0"
"Denmark","2005","Men","75-79","0"
"Denmark","2005","Men","80-84","0"
"Denmark","2005","Men","85+","0"
"Estonia","2005","Women","16-19","0.018"
"Estonia","2005","Women","20-24","0.023"
"Estonia","2005","Women","25-29","0.046"
"Estonia","2005","Women","30-34","0.022"
"Estonia","2005","Women","35-39","0.029"
"Estonia","2005","Women","40-44","0.024"
"Estonia","2005","Women","45-49","0.075"
"Estonia","2005","Women","50-54","0.093"
"Estonia","2005","Women","55-59","0.149"
"Estonia","2005","Women","60-64","0.146"
"Estonia","2005","Women","65-69","0.217"
"Estonia","2005","Women","70-74","0.346"
"Estonia","2005","Women","75-79","0.475"
"Estonia","2005","Women","80-84","0.554"
"Estonia","2005","Women","85+","0.721"
"Estonia","2005","Men","16-19","0.019"
"Estonia","2005","Men","20-24","0.032"
"Estonia","2005","Men","25-29","0.046"
"Estonia","2005","Men","30-34","0.059"
"Estonia","2005","Men","35-39","0.039"
"Estonia","2005","Men","40-44","0.039"
"Estonia","2005","Men","45-49","0.07"
"Estonia","2005","Men","50-54","0.109"
"Estonia","2005","Men","55-59","0.124"
"Estonia","2005","Men","60-64","0.213"
"Estonia","2005","Men","65-69","0.257"
"Estonia","2005","Men","70-74","0.324"
"Estonia","2005","Men","75-79","0.435"
"Estonia","2005","Men","80-84","0.456"
"Estonia","2005","Men","85+","0.567"
"Finland","2005","Women","16-19","0.048"
"Finland","2005","Women","20-24","0.036"
"Finland","2005","Women","25-29","0.049"
"Finland","2005","Women","30-34","0.063"
"Finland","2005","Women","35-39","0.048"
"Finland","2005","Women","40-44","0.078"
"Finland","2005","Women","45-49","0.099"
"Finland","2005","Women","50-54","0.113"
"Finland","2005","Women","55-59","0.147"
"Finland","2005","Women","60-64","0.135"
"Finland","2005","Women","65-69","0.169"
"Finland","2005","Women","70-74","0.287"
"Finland","2005","Women","75-79","0.341"
"Finland","2005","Women","80-84","0.431"
"Finland","2005","Women","85+","0.43"
"Finland","2005","Men","16-19","0.008"
"Finland","2005","Men","20-24","0.05"
"Finland","2005","Men","25-29","0.06"
"Finland","2005","Men","30-34","0.051"
"Finland","2005","Men","35-39","0.07"
"Finland","2005","Men","40-44","0.084"
"Finland","2005","Men","45-49","0.059"
"Finland","2005","Men","50-54","0.157"
"Finland","2005","Men","55-59","0.138"
"Finland","2005","Men","60-64","0.122"
